name,abv,desc,style_name
Huckleberry Cream Ale,5.5,We begin with slight variations on our traditional Cream Ale recipe. Real huckleberries are added during the last minutes of the boil to lend a subtle berry aroma and flavor.,Cream Ale
Hummer,5.1,SweetWater Hummer is a tasty Belgian White Ale brewed with coriander and orange peel. Cloudy with subtle fruit tones and a lingering finish. Everybody loves a Hummer!,Belgian Blonde
IPA,5.6,"With an awesome floral nose and fresh hop flavor, The Purple is one of the most sessionable IPAs on the market. Beer Advocate calls it "" A damn solid American IPA"" - See more at: http://www.wachusettbrew.com/ipa.html#sthash.SchItsAb.dpuf",American IPA
IceyPA,7.0,"A wheat IPA brewed in celebration of Colorado winter and Oskar Blues’ partnership with Denver’s Icelantic Skis, exclusively for the Colorado Old Chicago “I Love Beer” Mini Tour.",American IPA
Ichabod Pumpkin Ale,5.2,"Ichabod combines malted barley and real pumpkin with cinnamon and nutmeg in a delicious and inviting brew. A rewarding complement to many dishes, Ichabod pairs well with autumnal foods such as poultry and root vegetables. After dinner, try it with your favorite dessert!",Pumpkin Beer
Imperial Black IPA,7.3,"Midnight and Chocolate Wheat malts create the blackness where rarely-used Zythos and Calypso hops pounce on your palate. Howie and the crew also packed American two-row, Crystal & Munich malts, Rye, Falconer's Flight, Simcoe, Chinook and Centennial hops into this black unfiltered masterpiece of a brew. First brewed 2012",Black Ale
Imperial Hatter,9.4,"A robust renovation of the India Pale Ale. Assertive dry-hoppying provides an aromatic telltale nose, indicative of the bitter symphony to follow. Bold hop character with lively grapefruit and citrus notes.",Imperial IPA
Imperial Pils,8.6,"When ya think about it, calling any PILS an IMPERIAL PILS is somewhat ironic. At the time of its creation in the dim recesses of post-stone-age / pre-X-box European city states the PILSENER style was indeed the IMPERIAL beer of its time, putting every other more colorful beer of its time to shame amidst a revolution of thermometer making. And without a doubt; its reign was long. Now American-born ales have usurped all of the imperialness there is to usurp and for the PILS to rise again, like every aspiration-ridden social ladder-climb-ing creature on the planet it must furthur evolve... This is that! We have made our own not-so-ordinary PILS every week of every year since 1996 and we have come to respect its stature in our own brewery-world..but Darwin never sleeps. Evolution persists, the weak are meat and the strong will eat, and now this brew has happened... furthur, further, furthur...",American Pilsener
Imperial Pilsner - Beer Camp #43,5.6,"Packing a big hop-forward punch and bright crisp finish, this golden pilsner features a hearty dose of ""sticky"" resinous Crystal and Pacifica dry hops, which balance the light-bodied yet complex malt backbone.",American Pilsener
Imperial Plum IPA,9.0,"Imperial Plum IPA brings together the hoppiness and rich maltiness of a well-balanced double IPA with subtle flavors of dark fruit. These flavors combine to produce an Imperial IPA that’s mellow, distinctive, and delicious. Plum puree lends fruity, floral notes to the citrusy and slightly spicy aroma of the hops. Full-bodied and abundant with malt and fruit, Imperial Plum IPA ends with a dry, refreshing finish.",Imperial IPA
Imperial Pumpkin,8.0,"A generous amount of Two Row Barley is blended with Caramel Malt, Pumpkin, Belgian Candi Sugar, Vanilla, Cinnamon, Nutmeg and Ginger then fermented with our Northwest Yeast creating a profile as unique as every pumpkin in the patch.",Pumpkin Beer
Imperial Red Ale - Beer Camp #65,8.1,"This imperial Red Ale takes the intense hop profile found in a traditional double IPA and turns up the malt.  It has big aromatic hop notes of grapefruit, peach, and melon balanced by a smooth and surprisingly robust malt body.",Imperial Red
Imperial Stout,9.9,"Dark and thick like your favorite dessert with a bonus.  Highly roasted malted barley, and plenty of it, gives the beer uncommon richness and smoky, roasty depth...kinda like a hydraulic sandwich in a glass",American Stout
Imperial Stout (Fudge And Sickle),9.9,"Vanilla been, Chocolate and French oak chips",American Imperial Stout
Imperial White IPA - Brewery Lane Series,9.0,"We built our new home on Brewery Lane in Littleton, Colorado, to cultivate creativity and nurture innovation. The Brewery Lane Series captures the essence of our ambition. These special hand-crafted ales are bold and adventurous.

Imperial White IPA offers flavors of honey, clove and banana from its Belgian yeast. Subtle wheat flavor is in harmony with lemongrass, which adds a hint of citrus. Citra and Amarillo hops impart pleasant hop flavor and aromas of tropical fruit and pine. 

Strong, balanced, flavorful. 

Welcome to Brewery Lane.",Imperial IPA
Incorrigible Reserve,4.5,Michigan blueberries & blackberries fuel a second flavorful fermentation of this beer after its residence of several months in our House of Funk sour cellar,BBL Aged Sour
India Pale Ale IPA,6.4,"Our I.P.A. is a result of our profound love of hops and big, bold brews. A combination of Cluster, Cascade, Citra and Simcoe hops create a piney, citrus aroma and flavor.",American IPA
Irish Wheat,5.3,"Welcome to Ireland’s sunny side. Far away from the salty sea coastline, the Irish Midlands were the prime spot to grow the wheat for the first ever beer to use 100% Irish wheat malt. Golden in color, with a hint of spicy clove and citrus, Irish Wheat is a clean and lively wheat beer that’s perfect for any occasion.",Wheat Ale
Jack's Pumpkin Spice Ale,5.5,"Our fall seasonal is a subtle, well-balanced ale, copper in color, offering rich, full flavors and aromas of pumpkin and spices.",Spice Beer
Johnny Appleseed,5.5,"Johnny Appleseed Hard Cider is a refreshingly sweet and intense new drink for life’s adventures. This new hard cider is best enjoyed on the rocks to reveal its perfect balance of sweetness and intensity with a crisp and refreshing apple bite. Inspired by the legendary adventurer and storyteller, Johnny Appleseed Hard Cider was created for anyone with a story to tell. There is a bit of Johnny Appleseed in everyone who follows their own path and is inspired to discover their own adventures. So grab some friends, raise a glass and refresh your nightlife with Johnny Appleseed Hard Cider. Let the stories flow.",Common Cider
Karaoke Fail,6.7,"This intensely hoppy pale ale was modeled after the fruit-forward IPAs popular in the North East, with one notable exception: it's entirely hopped with exciting hop varietals from New Zealand including Waimea, Dr. Riding and Wai-Ito for a richly hopped brew.",American Pale
Kate The Great Russian Imperial Stout,9.5,The granddaddy of stouts.  Intended for export to the Imerial Court of Russia's Catherine the Great.  Jet black.  Full-bodied.  Very strong.,American Imperial Stout
Keller,4.9,Our take on a rarely-seen classic. Start with one of our favorite lagers and add a boat-load of Mandarina Bavaria hops. A fine balance is struck between hoppy and refreshing.,Kellerbier
Kellerweis,4.8,"Kellerweis is one of the only American Hefeweizens made using the traditional Bavarian style of open fermentation. This difficult and labor-intensive technique adds uncommon depth and flavor complexity. Our hazy-golden hefeweizen is deeply flavorful, refreshing and perfect for a sunny day. To serve, pour two-thirds into a glass, swirl and pour the rest.",Hefeweizen
Kilkenny Irish Cream Ale,4.3,"An ""Irish Cream Ale"", though this style does not exist on BeerAdvocate.com, and the closest style is Irish Red Ale.",Cream Ale
Kill Ugly Radio,7.8,This Ale is Released In Celebration of the 40th Anniversary of the Release of F.Z. and The Mothers Absolutely Free,American IPA
Kings Dish,6.8,"One of our greatest works, this revival of Burton Style Ale pairs traditional British ingredients with Shakespeare's historic prose for a dark full-flavored beer characterized by intense malt flavors. A royal reinterpretation made ready for laymen, it's proof you need not be a king to drink like one.",Strong Ale
Kolsch,5.0,"From Cologne to California, Kölsch-style beers are a favorite around the world. These light-bodied beers share the expressive character of an ale with the crisp, clean finish commonly found in lager beers. For our stamp on the style, Kölsch has a blast of floral and citrusy American and European whole-cone hops. This beer contains wheat malt to maintain the legendary drinkability of a classic Kölsch but adds a nod to our American brewing heritage and our love of hop flavor.",Kölsch
Lagunator,7.9,"With a massive malt character, rounded out by a bitter balance from some experimental hops from the Yakima Valley, this beer will leave you saying ""I'll be bock!""",American Lager
Lagunitas IPA,6.2,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now stop. OK, go again, now stop. Think again, and stop. But we digress. Made with 43 different hops and 65 various malts, this redolent ale will likely float your boat, whatever planet you're on.",American IPA
Lagunitas Undercover Investigation Shut-Down Ale,9.6,Our oxymoronic 'Imperial Mild' - A redux to remember the '05 St. Paddy's Day Massacre. Defiant as to style ... We Can say for sure it is unforgiven and unrepentant.,American Pale
Larry Imperial IPA,8.5,"We teamed up with our friends at the Publick House to create this 7.5% ABV, 85 IBU India Pale Ale, so you can enjoy it with yours.",American IPA
Larry Triple Douple,8.5,"""Triple"" Double Larry is loaded with the same hop character you have grown to love, but is brewed with a traditional Belgian yeast to create a truly unique Imperial IPA",Belgian Pale
Leghorn Rye IPA,6.0,"A play on a traditional India Pale Ale, the mash for Leghorn includes three different types of rye. The rye imparts a spicy malt profile that balances the five separate hop additions. Bittered with Columbus hops and dry-hopped with Liberty, the deep hop flavor and delicate, floral boquet creates a complex, yet refreshing brew.",American IPA
Liger Lager,6.9,This Hybrid beer is a cross between and IPA and Pilsner.  the uses of Cascade and Summit lets the hop flavor have just enough citrus American IPA hop flavor with out over whelming the clean lager-esk hop flavors of Glacier and Saaz.  And if you were wondering it is true…this beer was brewed for its powers of magic,American Premium Lager
Light IPA,4.0,An easy drinking session IPA coming in at 4% ABV with 37 IBUs and only 121 calories.,American IPA
Little Birdy,6.9,IPA with Guava,American IPA
Little Sumpin’ Wild,8.74,"Another Big Sister of the Little Sumpin’ Sumpin’ Ale.... Loads of Malted Wheat for a Curious Malt Foundation and a Light Color, But Our Belgian Yeast Leaves a Huge Flavor and Complexishness.",American Pale
Little Wolf,4.7,"Named for the translation of the hop plant species, “Hummulus Lupulus”, this Pale Ale was brewed with oats and features Horizon and Citra Hops.",American Pale
Lolo IPA,6.4,"Lolo, a Hawaiian word for “crazy” is the perfect way to describe this dry and juicy American IPA!",American IPA
Long Steam IPA,5.8,Ale brewed with rose hips and rose petals added,American IPA
Lost Dune,5.5,A refreshing and aromatic summer ale. Tropical notes of Mosaic hops and bright citrus of coriander complement the rounding smoothness of blueberries from Michigan’s dune-laden west coast.,Fruit Beer
Lovebird Wheat,4.4,"This crisp wheat beer is complimented by the addition of nearly two hundred pounds of strawberries and raspberries in each brew. The fruit adds a tartness and berry aroma, as well as a slightly pink color to the brew.",Hefeweizen
LowRYEder IPA,6.2,A flame throwin’ Rye IPA ignited by a 25% shot of rye malt and capped by a booty hoppin’ blast of Mt Hood and Centennial hops that makes this IPA bounce!,Rye Ale
Lucky 13,8.3,"Our 13th Anniversary Beer in was a Staff Favorite, So We Make it Each Year. BIG on the Amarillo Hops and Rich Dark Malts for a Round and Huge, Smoky Flavor.",Amber
Lucky U IPA,6.2,"We like to think this is an ale for everyone who believes you make your own luck. We sure did. And the result is a well-balanced, soulful IPA with just the right amount of hoppiness. An even keeled ale that goes down clean and refreshing, but still lets you know it’s been doted on by the Brewmaster. It's true to it’s IPA heritage, but also highly drinkable. Lucky U. And we seriously mean that.

Yeast: Top Fermented Ale Yeast
Malts: Two Row Pale, Munich, Carmel, Torrified Wheat
Hops: Amarillo, Magnum, Perle, Cascade, Apollo, Fuggle, Goldings",American IPA
Lupu Lava Tropical IPA,6.8,"Galaxy, Simcoe and Mosaic Hops. Mango, papaya and guava added during 2nd fermentation.",American IPA
Ma Mère Spéciale,6.0,"The demand for a more bitter beer has grown. In French bitter is called ‘amère’ (like mère for mother). ‘Ma Mère Speciale’ has been added to the ranks. 
Ma Mère Spéciale (6°) has a mild malty rich quality. The balanced bitter hop flavour is rounded off with a soft, fine hint of lemon. The refined hop aftertaste lingers pleasantly.

This golden bitter ‘mother’ is ‘unbitterable’ according to brewers.",Belgian Ale
Mad Hatter IPA,7.0,"Dry-hopping provides a distinctive and floral hop aroma, while the lively and hoppy body is subtly balanced with delicious malt notes. Hatter's hop character makes it a great fit for spicy dishes, bitter greens and beef.",American IPA
Madonna,8.0,Heaps of hops! Tropical and grapefruit aroma and flavor from Citra meld beautifully with lemon-lime and nectar fruit from New Zealand Motueka. Wheat and Pilsner malt keep the body light and refreshing so the hops can express themselves.,Imperial IPA
Maillard's Odyssey,8.5,"Maillard’s Odyssey is a robust dark ale layered with complex malt flavors of toffee, caramel, chocolate, coffee, and dark fruit. This malt-focused concept spawned a daunting grain bill featuring 10 different grains including pale malt, Munich, chocolate malt, oats, dark wheat and roasted barley for a rich, semi-sweet and intense experience.",Imperial Red
Maillard's Odyssey - Beer Camp Across America,8.5,"Rich, dark, and roasty. That was the concept Bell’s beer guru John Mallett aimed for and, true to John’s vision, Maillard’s Odyssey is exactly that. Its name honors the Maillard reaction—the “browning” of sugars and amino acids—that creates the wonderful caramelized toffee-like and roasted flavors so abundant in this beer.

Bell’s has done a lot to raise the Midwest’s craft beer bona fides. They are masters of many beer styles from their portfolio of top-notch American stouts all the way through to the alpha acid assault of their Hopslam Ale. Bell’s constantly reinvents beer styles and refines recipes with artful mastery and an oddball slant.",American/Belgian Dark
Mama's Little Yella Pils,5.3,"Oskar Blues’ newest beer is an uncompromising, small-batch version of the beer that made Pilsen, Czech Republic famous. Unlike mass market ""pilsners"" diluted with corn & rice, Mama’s is built with 100% pale malt, German specialty malts, and Bavarian hops. While it’s rich with Czeched-out flavor, its gentle hopping (35 IBUs) and low ABV (just 5.3%) make it a luxurious but low-dose (by Oskar Blues standards) refresher.",German Pilsener
Mango Mosaic Pale Ale,5.5,"Mosaic hops naturally give off aromas of guava and mango, lending a unique sweetness to the hop character of this pale ale. To build upon the tropical attributes of the hops, we've added a healthy dose of mango. Mango Mosaic Pale Ale is a well-balanced montage of fruit flavors, fresh aromas, and refreshingly crisp goodness.",American Pale
Maple Scotch-Style Ale,7.3,"Scotch ales are wintertime staples, known for their rich, malty flavors with notes of caramel and toffee. This robust beer combines that traditional malt flavor with a touch of maple for an added layer of depth—perfect for sipping near a warm winter hearth.",Scotch Ale
Mash Appeal,4.3,"In celebration of Cleveland Beer Week, we’ve partnered with Oskar Blues Brewery and Lagerheads Brewing Company to create Mash Appeal, a Kentucky Common-style lager. Inspired by a once popular pre-prohibition style established in Louisville, Kentucky, Mash Appeal has a rich malt flavor with a tart finish.",American Lager
Maximus,8.2,"Did someone say Hops?  Caution must be exercised when drinking this beer.  It has been know to remove enamel from one's teeth, but fortunately it can also double as an industrial floor sealant.  Imagine our IPA on steroids.",American IPA
Mean Joe Bean,8.5,"Rodger the Dodger and his Imperial Porter bone offense didn’t stand a bat wing’s chance, once we dipped our Nicaraguan bean sack through his facemask!
We blindsided his 8.5% Alc/Vol jock strap back to the fields to pick some more beans, resulting in this Immaculate con-Catch-tion of intense forearm shivers of chocolate malt, a body like the Bus and blitzes of gridiron hops, all clotheslined by intense coffee overtones. So good that you’ll need your terrible towel to wipe the tears.

Imperial Porter brewed with Fresh Roasted Coffee Beans from Java Vino in Atlanta via their family coffee farm in Nicaragua.",Brown Porter
Michigan Awesome Hatter,5.8,"The epitome of Hand Crafted, Michigan Awesome Hatter celebrates community, collaboration & local agriculture. Centennial hops from the Leelanau Peninsula provide bright citrusy counterpoint to the delicious and earthy malt notes from Michigan grown and malted 2-row barley. Thanks to our collaborators, Michigan Awesome.",American Pale
Mighty Brown,7.5,"Mighty Brown is a towering behemoth of a brown ale, rich, robust and full of personality. And it will go well with every other big event, meal or day in your life. Savor it. And ration it accordingly.

Yeast: California Ale
Malts: Pale, Munich, Roasted Barley, Chocolate, Toasted Wheat
Hops: Perle, Hallertau",American Brown
Milk Stout,5.8,"The deliciously darkest beer we've ever made is one of the easiest drinkers we've ever brewed.

With sweet, malty flavor and a creamy full body, our Milk Stout is the perfect cold weather beer.",Sweet Stout
Miller Chill,4.1,"Launched in 2007, Miller Chill is the only light beer brewed with a hint of lime and a pinch of salt to provide a truly refreshing beer experience. Through all of our marketing efforts, beer drinkers will see that Miller Chill is a celebration and fusion of the best of two cultures, great light beer from America and the chelada style from Mexico. It's the new alternative in mainstream low-cal beers ... one that provides a crisper, smoother, more refreshing beer experience.",American Light Lager
Miller Fortune,6.9,"Miller Fortune, developed to compete within spirits' occasions, was introduced to the market in February 2014. The jet black bottle is branded with the Miller script ""M,"" a nod to Miller's time honored brewing tradition. Miller Fortune is undistilled at 6.9% ABV and crafted with caramel malts and cascade hops for a balanced taste and smooth finish. It's best served in a rocks glass.",American Premium Lager
Miller Genuine Draft,4.66,"Miller Genuine Draft delivers a fresh from the tap taste through its proprietary ""cold-filtered four times"" brewing process. Introduced nationally in 1986, Miller Genuine Draft was born as the original cold-filtered packaged draft beer. Today, Miller Genuine Draft is reinforcing its status as the best draft beer in a bottle.",American Light Lager
Miller High Life,5.0,"Miller High Life, the ""champagne of beers,"" dates to 1903. A classic American style lager, Miller High Life is known for its consistently crisp, smooth taste and iconic clear-glass bottle. Miller High Life embraces its rich heritage and is known by its drinkers as an authentic, unpretentious beer. It's common sense in a bottle.",American Light Lager
Miller Lite,4.2,"Miller Lite is the great tasting, less filling beer that created the American light beer category in 1975. Triple-hops brewed for great pilsner taste, Miller Lite is the only beer to win four gold awards in the World Beer Cup for best American-Style light lager (2006, 2002, 1998 and 1996). It also won the gold medal for best American-style Lager or Light Lager at the 2010 Great American Beer Festival.",American Light Lager
Miller64,2.8,"Miller64 was introduced as the perfect choice for consumers striving to maintain a sense of healthy balance in their busy lifestyles. Combining a fresh, crisp flavor with only 64 calories and 2.4 carbohydrates, Miller64 is a guiltless pleasure for moments of relaxation.",American Light Lager
Mischievous,5.5,"Mischievous presents flavors derived from its 100% brettanomyces fermentation. This wild yeast contributes earthiness, spice, mineral-character and slight tartness.",Wild Beer
Monkey King,5.6,"A soft, medium body saison with subtle pepper character and 
fruity undertones.",Saison
Mountain Series: Salted Caramel Brown,6.5,"A rich, malty ale with a touch of sea salt",American Brown
Moving To the Country,5.0,A perfect balance of floral and tropical hops rips through this pale ale with a sweet tartness and smooth finish that hints towards the taste of summer. The first in our Neighbor Series - this beer is Brewed in partnership with our friends at Sweetwater Brewing Company.,American Pale
Mozango,7.7,"We've got a big juicy secret for ya. Word on the street is this ale's loaded with bunches of earth-floral Mosaic and citrusy-piney Simcoe hops AND sources tell us it's even packing some fresh mango juice in the mix. Like a smooth and aromatic tropicalian punch, right in the kisser...Mozango!",American IPA
Mozango (Fusion XXXI),9.0,A wheat-heavy IPA with Mosaic hops and mango juice.,Imperial IPA
Mt. Takhoma Blonde Ale,3.8,"German Pilsner Malt and a touch of flaked wheat are used to produce this light bodied, straw colored ale. Horizon and Glacier hops provide the balance. This beer finishes crisp and dry. Try this with and orange slice. 3.8% ABV",Belgian Blonde
Mungo Berry,4.8,"A delicate and refreshing ale brewed with local organic malt and white wheat. We conditioned this beer with 450lbs of peaches, 75lbs blueberries, and 80lbs of strawberries from Adam’s Berry Farm in Charlotte, VT. Lightly soured with wild Lactobacillus Bacteria for a quenching finish.",Sour
Murphy's Law Red Ale,5.0,"This eponymous creation of our former Head Brewer, Paul Murphy, is a full-bodied ale that has a ruby color and toasty sweetness resulting from the generous use of caramel malt.",Irish Red
Myron's Walk - Beer Camp Across America,5.3,"We named this beer in honor of Myron Avery, a founder of the Appalachian Trail, or the A.T., which starts near Sierra Nevada’s North Carolina brewery and ends near Allagash’s home in Maine. Both breweries have a tremendous love of the outdoors, and Avery and the A.T. are great reminders of the wild spirit of exploration that connects us both.

In 1995, Rob Tod started Allagash Brewing Company and since then, Portland, ME, has been a place of reverence in the Belgian brewing pantheon. Allagash adds their Belgian flair to variety of beer styles and are one of the few American breweries to use a traditional coolship for true spontaneous fermentations leading to seriously complex beers native to their coastal home.",Belgian Pale
NXS,6.5,This “Left Coast” IPA is a collaboration between Northern California’s Sierra Nevada Brewing Co. and San Diego’s Karl Strauss Brewing Company—who together represent nearly 65 years of brewing experience. NxS is unabashedly hoppy—in true California fashion—and features hop flavors of citrus and tropical fruit with a light and crisp malt body.,American IPA
Narconaut,6.6,"Black I.P.A. brewed with Pilsner malt and a premium blend of dark malts. Dry-hopped with Nugget, this beer has an upfront bitterness with a malty backbone and a bitter finish.",American IPA
Narwhal,10.2,"A malt-forward monster, highlighting the depths of malt flavor.

Narwhal Imperial Stout is inspired by the mysterious creature that thrives in deepest fathoms of the frigid Arctic Ocean. Featuring incredible depth of malt flavor, rich with notes of espresso, baker's cocoa, roasted grain and a light hint of smoke, Narwhal is a massive malt-forward monster. Aggressive but refined with a velvety smooth body and decadent finish, Narwhal will age in the bottle for years to come.",American Imperial Stout
Natty Daddy,8.0,"Lager brewed with Natural Light’s all-natural ingredients. 
Brewed with: Water, Barley Malt, Cereal Grains, Hops, Yeast.",American Light Lager
New Dogtown Pale Ale,6.2,"This one was our first grocery store package. It is big, malty Pale Ale with a thirst-quenching hop flavor and a crispy clean finish.  WE revamped the recipe in 2008 to brighten up the hoppy kick.",American Pale
Nib Sip Chub,7.0,American Porter with Coffee and Cocoa,Brown Porter
Nice Things IPA,6.4,"The boys don' did it on this one. Hazy, hoppy, heady. They even tossed some pineapple in there. This beer's got hops and those things are nice. Mosaic hops run the show, featuring Amarillo and Simcoe on the chorus.

Brewed with hip-hop artist (and hop hop artist -- sorry, couldn't resist) Chill Moody.",American IPA
Night Time,7.9,"Think of it like DayTime’s big, dark and scary sidekick. This ale is packed full of highly roasted malts, then counterhopped by smooth operators with the dankest, juiciest hops. Not for the lunch crowd or the faint of heart.",Black Ale
Night Tripper,10.8,"Night Tripper is an Imperial Stout for a Fat Tuesday release. Dark, mysterious and poetic, Night Tripper's abundance of roasted malts, combined with flaked barley create a rich, roasty beer with deeply intense and lush flavors. Night Tripper's layered, nuanced tones invite intrigue and reward a curious palate.",American Imperial Stout
Night Tripper Barrel Aged,10.8,"Night Tripper is an Imperial Stout for a Fat Tuesday release. Dark, mysterious and poetic, Night Tripper's abundance of roasted malts, combined with flaked barley create a rich, roasty beer with deeply intense and lush flavors. Night Tripper's layered, nuanced tones invite intrigue and reward a curious palate.",American Imperial Stout
Night Wish,10.5,https://untappd.com/b/our-brewing-company-night-wish/441252,American Imperial Stout
Nitro Irish Stout,4.8,"Brewed with Irish malts and roasted barley, this easy-going stout adds a welcoming Colorado spirit to a classic old world style. Dark malty flavors evolve into a notable dry character, while the nitrogen charge creates a soft pillowy head that smooths every sip. No glass? No worries. We’ve canned the cascade. Indulge in the nitro experience anywhere life takes you.",Dry Irish Stout
Nitro Lucky U IPA,5.7,"Lucky U is a soulful IPA with just the right amount of hoppiness. Four malts and seven different hops give Lucky U IPA a well-balanced and full flavor. Nitrogen preserves those layers of interesting hop character adding a delightful, smooth mouthfeel. The transformation creates an entirely different IPA experience.

Nitro Luck U IPA's innovative packaging is nitrogen charged, producing a velvety cascading head right inside the can. This allows you to take it anywhere - drinking it from a glass or straight from the can. Enjoy your ""Nitro on the go.""",American IPA
Nitro Orange Cream Ale,5.5,"Nitro Orange Cream Ale is a unique and easy drinking summer beer that got its inspiration from history and nostalgia,” shares Todd Usry, President and Brewmaster of Breckenridge Brewery. “Our Nitro seasonals bring to life each season through inventive flavor combinations. The Nitro Series as a whole is the result of years of experimentation with nitrogen, exploring how it enhances flavor and texture. A nitrogen-infused beer’s cascading pour is mesmerizing, and the softness of its mouthfeel has inspired us to play with different styles and ingredients",Cream Ale
Nitro Series: Chocolate Orange Stout,6.0,"A twist on an American style stout, Breckenridge Brewery uses Cholaca, pure liquid cacao, and organic orange zest to offer a new way to experience traditional holiday flavors. Roasted malts compliment the chocolate and orange flavors. Mandarina Bavaria hops, a recently developed hop variety from Germany, impart subtle tangerine aromas, enhancing the citrus notes of the beer.",Sweet Stout
Nitro Vanilla Porter (NVP),4.7,"Who would have thought deep in the jungles of Papua New Guinea and Madagascar grew the perfect ingredient to build an extraordinary Porter in Colorado? An ale that has all the chocolate and roasted nut flavor of a classic Porter, with an enigmatic surprise thrown in for good measure, real vanilla bean. Breckenridge Brewery’s Vanilla Porter. A vanilla kiss in a rich, dark sea.",Brown Porter
No Middle Ground,6.9,"At first glance, it might seem strange to combine coffee and hoppy beer, but really, the two flavors have a lot in common. Good coffee and hops both have complex and fruity aromas which create layers of flavor. No Middle Ground® is brewed with fruit-forward hop varietals and cold-brewed is added for a unique take on the IPA.",American IPA
Nooner Pilsner,5.2,"A crisp, hoppy take on the original session beer.

Gather your friends, pack the gear, and head out to wherever the day may take you. A midday go-to, Nooner is our take on the classic German-style pilsner—one of the original session beers. Nooner is easy drinking yet packed with the big flavor of spicy and floral whole-cone hops. Its brilliant golden color begs you to take a sip and sink your taste buds into an extremely welcoming beer, full of flavor and balanced by a crisp, dry finish.",American Pilsener
Northdown,4.1,"Maltier and less hoppy than an American pale ale, this English-style Best Bitter is all about balance.",English Pale
Now You Know,6.1,"A bitter, moderately strong American pale ale that uses its clean, supporting malt to showcase its hop character.",American IPA
Nut Brown Ale,5.2,"Very smooth, dark brown, with a rich Belgian specialty finish.",American Brown
O'Doul's,0.5,"O'Doul's and O'Doul's Amber are non-alcohol malt beverages. 

O’Doul’s has a mild, sweet taste with a slightly dry finish. O’Doul’s Amber has a rich, slightly sweet taste with flavorful hop finish. 

O’Doul’s and O’Doul’s Amber are brewed as traditional premium beers – fermented and aged to full maturity. The alcohol is then removed through the use of low temperature, low-pressure distillation. This extremely gentle process allows the alcohol to be removed without heating or cooking the beer, which retains the full, rich and delicate flavor and balance of our non-alcohol brews.",Non-Alcoholic
O'Doul's Amber,0.5,"O’Doul’s has a mild, sweet taste with a slightly dry finish. O’Doul’s Amber has a rich, slightly sweet taste with flavorful hop finish. 

O’Doul’s and O’Doul’s Amber are brewed as traditional premium beers – fermented and aged to full maturity. The alcohol is then removed through the use of low temperature, low-pressure distillation. This extremely gentle process allows the alcohol to be removed without heating or cooking the beer, which retains the full, rich and delicate flavor and balance of our non-alcohol brews.",American Amber Lager
Oak Aged Mad Hatter India Pale Ale,7.22,"Mad Hatter aged in Kentucky barrels. Round, smooth wood character brings a new dimension to dry-hopped, aromatic hoppiness.",Imperial IPA
Oatmeal Stout,5.0,"Rich, round and roasted, our Oatmeal Stout is satisfaction in a glass. It's a bold, smooth-bodied concoction that oozes dark-roasted coffee aromas and flavors of espresso and semi-sweet chocolate. We round out these heady pleasures with a dose of flaked oatmeal for a creamy body and a semi-dry finish.

Unforgettable.

Yeast: Top Fermenting Ale Yeast
Malts: Two Row Pale, Caramel, Roasted Barley, Chocolate, Oat Flakes, Black
Hops: Chinook, Perle",Oatmeal Stout
Oatmeal Stout - Beer Camp #45,9.0,"This big oatmeal stout is midnight black in color-with a big, roasty, mocha-like aroma. It has a silky body from the use of rolled oats, and a round and lasting finish. Perfect as an after dinner treat",Oatmeal Stout
Oatmeal Stout ,5.5,The addition of flaked oats adds a “smooth” texture to this big black ale. Its chocolate roasty flavors are tightened up by a well-balanced hop flavor.,Oatmeal Stout
Octoberfest,5.2,We use traditional Oktoberfest specialty malts and hops to handcraft our interpretation of the style. Deep copper color with a predominant Euro-malty flavor and balanced bitterness.,Märzen
Oktober-Fiesta,5.5,"This is an Oktoberfest beer with a twist.  In the new world tradition for this style, Oktober-Fiesta is made with darker malts than its German counterpart.  The malts in this case are dark Caramel Munichs that give the beer a slight tang not usually found in the style.  Hops are of the Noble varieties, but take a back seat to the malt forward flavors.",American Amber Lager
Oktoberfest,6.0,"Released each fall starting in 2015, this collaborative seasonal will feature a different German brewery every year. 

“We’re honored that Brauhaus Riegele, a real cornerstone of German craft brewing, is kicking off this Oktoberfest collaboration with us,” said Ken Grossman, Sierra Nevada’s founder.

Family owned like Sierra Nevada, Brauhaus Riegele has brewed excellent craft beers since 1386, and more than 600 years later, its innovation earns accolades including 2015 Craft Brewer of the Year at the Meininger International Craft Beer Awards. Just as Sierra Nevada’s Ken and Brian Grossman lead as a father-son team, Brauhaus Riegele has a father-son duo at the helm. Its 27th generation Master Brewer Dr. Sebastian Priller-Riegele works alongside his son Sebastian Priller-Riegele, a World Champion Beer Sommelier, to brew a lineup of beers that together have earned more than 200 awards and medals stateside and abroad.",American Oktoberfest
Oktoberfest Marzen Lager,5.4,German malts and hops along with a long lagering give this beer impeccable drinkability. The superb malt flavor is balanced by just a hint of hop bitterness. PROST!,American Oktoberfest
